port_index,polarization,x_m,y_m,z_m
45,pol1,0.0,0.02758826300613497,-0.02758826300613497
46,pol1,0.0,0.02758826300613497,-0.04598043834355828
47,pol1,0.0,0.02758826300613497,-0.06437261368098159
48,pol1,0.0,0.04598043834355828,0.06437261368098159
49,pol1,0.0,0.04598043834355828,0.04598043834355828
50,pol1,0.0,0.04598043834355828,0.02758826300613497
51,pol1,0.0,0.04598043834355828,0.009196087668711656
52,pol1,0.0,0.04598043834355828,-0.009196087668711656
53,pol1,0.0,0.04598043834355828,-0.02758826300613497
54,pol1,0.0,0.04598043834355828,-0.04598043834355828
55,pol1,0.0,0.04598043834355828,-0.06437261368098159
56,pol1,0.0,0.06437261368098159,0.06437261368098159
57,pol1,0.0,0.06437261368098159,0.04598043834355828
58,pol1,0.0,0.06437261368098159,0.02758826300613497
59,pol1,0.0,0.06437261368098159,0.009196087668711656
60,pol1,0.0,0.06437261368098159,-0.009196087668711656
61,pol1,0.0,0.06437261368098159,-0.02758826300613497
62,pol1,0.0,0.06437261368098159,-0.04598043834355828
63,pol1,0.0,0.06437261368098159,-0.06437261368098159
64,pol2,0.0,-0.06437261368098159,0.06437261368098159
65,pol2,0.0,-0.06437261368098159,0.04598043834355828
66,pol2,0.0,-0.06437261368098159,0.02758826300613497
67,pol2,0.0,-0.06437261368098159,0.009196087668711656
68,pol2,0.0,-0.06437261368098159,-0.009196087668711656
69,pol2,0.0,-0.06437261368098159,-0.02758826300613497
70,pol2,0.0,-0.06437261368098159,-0.04598043834355828
71,pol2,0.0,-0.06437261368098159,-0.06437261368098159
72,pol2,0.0,-0.04598043834355828,0.06437261368098159
73,pol2,0.0,-0.04598043834355828,0.04598043834355828
74,pol2,0.0,-0.04598043834355828,0.02758826300613497
75,pol2,0.0,-0.04598043834355828,0.009196087668711656
76,pol2,0.0,-0.04598043834355828,-0.009196087668711656
77,pol2,0.0,-0.04598043834355828,-0.02758826300613497
78,pol2,0.0,-0.04598043834355828,-0.04598043834355828
79,pol2,0.0,-0.04598043834355828,-0.06437261368098159
80,pol2,0.0,-0.02758826300613497,0.06437261368098159
81,pol2,0.0,-0.02758826300613497,0.04598043834355828
82,pol2,0.0,-0.02758826300613497,0.02758826300613497
83,pol2,0.0,-0.02758826300613497,0.009196087668711656
84,pol2,0.0,-0.02758826300613497,-0.009196087668711656
85,pol2,0.0,-0.02758826300613497,-0.02758826300613497
86,pol2,0.0,-0.02758826300613497,-0.04598043834355828
87,pol2,0.0,-0.02758826300613497,-0.06437261368098159
88,pol2,0.0,-0.009196087668711656,0.06437261368098159
89,pol2,0.0,-0.009196087668711656,0.04598043834355828
90,pol2,0.0,-0.009196087668711656,0.02758826300613497
91,pol2,0.0,-0.009196087668711656,0.009196087668711656
92,pol2,0.0,-0.009196087668711656,-0.009196087668711656
93,pol2,0.0,-0.009196087668711656,-0.02758826300613497
