ut_index,user_id,serving_sector_id,serving_bs_index,x_m,y_m,z_m,radius_from_serving_bs_m,geographic_azimuth_from_bs_deg,offset_from_sector_boresight_deg,indoor
11,E3_SITE_04_SEC_3_UE_1,E3_SITE_04_SEC_3,11,-522.7055620012152,-316.01435481080307,1.5,111.38253301597665,233.63622281492826,-6.36377718507174,False
12,E3_SITE_05_SEC_1_UE_1,E3_SITE_05_SEC_1,12,414.36792230830196,386.9070296271519,1.5,138.14555162529322,352.2434241169816,-7.7565758830183995,True
13,E3_SITE_05_SEC_2_UE_1,E3_SITE_05_SEC_2,13,505.9805604266477,160.45123495090488,1.5,115.5328991726142,140.83346519284504,20.83346519284504,True
14,E3_SITE_05_SEC_3_UE_1,E3_SITE_05_SEC_3,14,294.07320070082585,210.10255141087765,1.5,144.56147251570442,253.9685135368698,13.968513536869807,True
15,E3_SITE_06_SEC_1_UE_1,E3_SITE_06_SEC_1,15,-438.39354156885486,301.50466443825667,1.5,51.75966410509575,354.0328399050711,-5.967160094928886,True
16,E3_SITE_06_SEC_2_UE_1,E3_SITE_06_SEC_2,16,-276.46387578516203,220.34154082762848,1.5,159.33821076558257,100.73664301815413,-19.263356981845874,False
17,E3_SITE_06_SEC_3_UE_1,E3_SITE_06_SEC_3,17,-570.7447547043569,163.48536970905937,1.5,162.66317341718192,237.8579511444229,-2.1420488555770874,True
18,E3_SITE_07_SEC_1_UE_1,E3_SITE_07_SEC_1,18,-3.2576930558077755,689.3321558924489,1.5,189.33472667035565,359.014120245302,-0.9858797546979758,True
19,E3_SITE_07_SEC_2_UE_1,E3_SITE_07_SEC_2,19,77.62906543202149,484.1862458022275,1.5,79.22848236861778,101.53217256460661,-18.46782743539339,False
20,E3_SITE_07_SEC_3_UE_1,E3_SITE_07_SEC_3,20,-146.79463717017754,374.52984491949064,1.5,193.12642028104804,229.4726698118848,-10.5273301881152,True
21,E3_SITE_08_SEC_1_UE_1,E3_SITE_08_SEC_1,21,26.723310755105537,-820.779140538061,1.5,181.17706123926638,8.481977808868535,8.481977808868521,True
22,E3_SITE_08_SEC_2_UE_1,E3_SITE_08_SEC_2,22,47.19114360416716,-1027.232908101039,1.5,54.49791294270752,120.01142283894187,0.011422838941882674,True
23,E3_SITE_08_SEC_3_UE_1,E3_SITE_08_SEC_3,23,-121.0373919730473,-1037.2596055467145,1.5,126.65001445634816,252.87876982063418,12.878769820634176,True
24,E3_SITE_09_SEC_1_UE_1,E3_SITE_09_SEC_1,24,483.96389866681494,-596.3875945939022,1.5,161.8177337604301,18.352843219410076,18.35284321941009,True
25,E3_SITE_09_SEC_2_UE_1,E3_SITE_09_SEC_2,25,551.4596860976111,-833.9730774002215,1.5,145.20828759279502,125.34295009689251,5.342950096892508,True
26,E3_SITE_09_SEC_3_UE_1,E3_SITE_09_SEC_3,26,317.19393054809393,-858.106339220459,1.5,158.45020244588827,226.9658683056303,-13.034131694369705,True
27,E3_SITE_10_SEC_1_UE_1,E3_SITE_10_SEC_1,27,870.3778384781344,-442.75633783232206,1.5,57.38352676869123,4.349999516681642,4.349999516681635,True
28,E3_SITE_10_SEC_2_UE_1,E3_SITE_10_SEC_2,28,1006.7881235963396,-508.8362323634543,1.5,141.04142827426116,93.60228209614392,-26.397717903856062,True
29,E3_SITE_10_SEC_3_UE_1,E3_SITE_10_SEC_3,29,778.149937902062,-647.7491785408968,1.5,171.92855362152804,210.7381901868168,-29.26180981318319,True
30,E3_SITE_11_SEC_1_UE_1,E3_SITE_11_SEC_1,30,-432.63958065385356,-593.7546378922002,1.5,156.22035501883627,0.13683825307919406,0.1368382530791905,False
31,E3_SITE_11_SEC_2_UE_1,E3_SITE_11_SEC_2,31,-298.7442171158836,-865.616239539623,1.5,177.20333106036927,130.7374059840362,10.7374059840362,True
32,E3_SITE_11_SEC_3_UE_1,E3_SITE_11_SEC_3,32,-540.7885738506595,-758.907149240895,1.5,108.14543501308297,265.2620826306397,25.262082630639725,True
33,E3_SITE_12_SEC_1_UE_1,E3_SITE_12_SEC_1,33,850.3114214261732,160.45010850353418,1.5,161.19244054662812,354.4055984843779,-5.594401515622167,True
34,E3_SITE_12_SEC_2_UE_1,E3_SITE_12_SEC_2,34,1020.1868513719133,-25.41817341751252,1.5,156.2470453126294,99.37190620706862,-20.628093792931395,True
35,E3_SITE_12_SEC_3_UE_1,E3_SITE_12_SEC_3,35,806.9320054138078,-56.616313237226024,1.5,81.85544594399485,226.21351372124667,-13.78648627875333,False
36,E3_SITE_13_SEC_1_UE_1,E3_SITE_13_SEC_1,36,-849.7568334825934,-315.51500378106334,1.5,185.17557430693867,5.040196294285423,5.040196294285408,True
37,E3_SITE_13_SEC_2_UE_1,E3_SITE_13_SEC_2,37,-695.7820742865314,-583.732731658236,1.5,189.73193685009306,116.19677237488706,-3.8032276251129247,True
38,E3_SITE_13_SEC_3_UE_1,E3_SITE_13_SEC_3,38,-938.6994382349187,-608.7571780666902,1.5,130.82499456185676,213.74557787736245,-26.25442212263755,True
39,E3_SITE_14_SEC_1_UE_1,E3_SITE_14_SEC_1,39,821.2500622534349,629.8086025003773,1.5,137.2898353286407,340.96551484543926,-19.034485154560798,True
40,E3_SITE_14_SEC_2_UE_1,E3_SITE_14_SEC_2,40,990.3949345352399,349.5636330244157,1.5,195.20896616095897,140.42335684814904,20.42335684814904,False
41,E3_SITE_14_SEC_3_UE_1,E3_SITE_14_SEC_3,41,732.7082900266369,438.02640476926524,1.5,147.02832164151252,245.05924512096414,5.059245120964135,True
42,E3_SITE_15_SEC_1_UE_1,E3_SITE_15_SEC_1,42,-890.6255311244927,136.26565194948662,1.5,138.44335851471385,349.76469552121154,-10.235304478788521,False
43,E3_SITE_15_SEC_2_UE_1,E3_SITE_15_SEC_2,43,-690.6763565834547,-47.7933613240319,1.5,181.75234469389915,105.2540060039441,-14.745993996055915,False
44,E3_SITE_15_SEC_3_UE_1,E3_SITE_15_SEC_3,44,-1020.1380659824235,-11.100252624777646,1.5,154.5137647604157,265.8708709017218,25.870870901721787,True
45,E3_SITE_16_SEC_1_UE_1,E3_SITE_16_SEC_1,45,462.1808630064452,918.0376332403875,1.5,170.5252911600289,9.848811825842354,9.848811825842347,True
46,E3_SITE_16_SEC_2_UE_1,E3_SITE_16_SEC_2,46,550.481832910413,682.3505710747982,1.5,135.56875823621536,119.94657801023602,-0.05342198976399004,False
47,E3_SITE_16_SEC_3_UE_1,E3_SITE_16_SEC_3,47,277.96381877271784,649.5850739028965,1.5,184.7387976526841,237.06490720413765,-2.935092795862346,True
48,E3_SITE_17_SEC_1_UE_1,E3_SITE_17_SEC_1,48,-815.8127828252415,677.6055766307129,1.5,184.54270649352972,15.788792840249016,15.788792840249016,False
49,E3_SITE_17_SEC_2_UE_1,E3_SITE_17_SEC_2,49,-786.9805363473431,438.75863945610615,1.5,100.00854165609037,127.77887388700185,7.778873887001851,True
50,E3_SITE_17_SEC_3_UE_1,E3_SITE_17_SEC_3,50,-956.0094938831685,443.4361956451509,1.5,106.29902512204738,237.83501777421043,-2.164982225789572,True
51,E3_SITE_18_SEC_1_UE_1,E3_SITE_18_SEC_1,51,-435.07758924037665,919.5785385895783,1.5,169.56565912495554,359.30226018367375,-0.6977398163262478,False
52,E3_SITE_18_SEC_2_UE_1,E3_SITE_18_SEC_2,52,-376.4999932318114,718.7727274282444,1.5,64.57877491752055,118.9435268221838,-1.0564731778162013,True
53,E3_SITE_18_SEC_3_UE_1,E3_SITE_18_SEC_3,53,-610.6124909710338,713.7865851295837,1.5,181.25932647223814,258.46723424262024,18.467234242620236,True
54,E3_SITE_19_SEC_1_UE_1,E3_SITE_19_SEC_1,54,59.16098406152264,1169.2993673401027,1.5,179.3144686835166,19.264446074705788,19.264446074705802,False
55,E3_SITE_19_SEC_2_UE_1,E3_SITE_19_SEC_2,55,99.81626642851785,884.6965570560355,1.5,152.52554625030993,139.1240664654326,19.124066465432605,True
56,E3_SITE_19_SEC_3_UE_1,E3_SITE_19_SEC_3,56,-166.7174720373603,917.8669773698626,1.5,185.86212980426774,243.76589172771662,3.765891727716621,True
