txrx,freq_mhz,occ_bw_khz,itu_class,satellite_name,lat,lon,ground_elev_m,height_agl_m,azimuth_deg,elev_angle_deg,ant_gain_dbi,hpbw_deg,ant_manufacturer,ant_model,station_loc,call_sign,auth_number,licensee_name,subservice,auth_status,in_service_date,province
RX,8270.0,78000.0,TW,GHGSAT-D,68.32535278,-133.61285278,5,4.5,,,35.4,2.35,,Earth Station antenna,"Inuvik, NT (Lot1019 Plan Q107B/7 LTO 3030)",VF826,011014964-002,Canadian Satellite Ground Station – Inuvik Inc. (CSGSI),906,G,2023-10-01,NT
RX,8260.0,130000.0,TW,SENTINEL-2,68.32438,-133.55243306,66,6.7,180.0,0.0,54.03,0.525,,Earth Station antenna,"ISSF, #10 Satellite Road, Inuvik, NWT, X0E 0T0",,011112547-001,Natural Resources Canada,906,G,2025-12-14,NT
RX,8260.0,130000.0,TW,SENTINEL-3,68.32438,-133.55243306,66,6.7,180.0,0.0,54.03,0.252,,Earth Station antenna,"ISSF, #10 Satellite Road, Inuvik, NWT, X0E 0T0",,011112551-001,Natural Resources Canada,906,G,2025-12-14,NT
RX,8260.0,130000.0,TW,SENTINEL-1,68.32438,-133.55243306,66,6.7,180.0,0.0,54.03,0.525,,Earth Station antenna,"ISSF, #10 Satellite Road, Inuvik, NWT, X0E 0T0",,011112529-001,Natural Resources Canada,906,G,2025-12-14,NT
RX,8260.0,130000.0,TW,SENTINEL-3,68.31833333,-133.54416667,64,8.7,180.0,45.0,59.2,0.17,,Earth Station antenna,"ISSF, #10 Satellite Road, Inuvik, NWT  X0E 0T0",VF862,011013728-001,Natural Resources Canada,906,G,2023-10-01,NT
RX,8260.0,130000.0,TW,SENTINEL-1,68.31833333,-133.54416667,64,8.7,180.0,45.0,59.2,0.17,,Earth Station antenna,"ISSF, #10 Satellite Road, Inuvik, NWT  X0E 0T0",VF861,011013730-001,Natural Resources Canada,906,G,2023-10-01,NT
RX,8260.0,130000.0,TW,SENTINEL-2,68.31833333,-133.54416667,64,8.7,180.0,45.0,59.2,0.17,,Earth Station antenna,"ISSF, #10 Satellite Road, Inuvik, NWT  X0E 0T0",VF860,011013732-001,Natural Resources Canada,906,G,2023-10-01,NT
RX,8260.0,130000.0,TC,SENTINEL-1,68.32535278,-133.61285278,31,10.7,180.0,46.0,59.8,0.2,,Earth Station antenna,"Inuvik, NT (Lot1019 Plan Q107B/7 LTO 3030)",XO221,011014968-001,Canadian Satellite Ground Station – Inuvik Inc. (CSGSI),906,G,2023-10-01,NT
RX,8230.0,100000.0,TW,RADARSAT-3C,68.32489444,-133.54370278,91,6.84,180.0,0.0,55.4,0.29,,Earth Station antenna,"ISSF, #10 Satellite Road, Inuvik, NWT, X0E 0T0",,011103292-001,Natural Resources Canada,906,G,2025-10-01,NT
RX,8230.0,100000.0,TW,RADARSAT-3C,68.326375,-133.54158889,99,6.84,180.0,0.0,55.4,0.29,,Earth Station antenna,"ISSF, #10 Satellite Road, Inuvik, NWT, X0E 0T0",,011103288-001,Natural Resources Canada,906,G,2025-10-01,NT
RX,8230.0,101230.0,TW,RADARSAT-2C,68.32489444,-133.54370278,91,6.84,180.0,0.0,55.4,0.29,,Earth Station antenna,"ISSF, #10 Satellite Road, Inuvik, NWT, X0E 0T0",,011103284-001,Natural Resources Canada,906,G,2025-10-01,NT
RX,8230.0,101230.0,TW,RADARSAT-2C,68.326375,-133.54158889,99,6.84,180.0,0.0,55.4,0.29,,Earth Station antenna,"ISSF, #10 Satellite Road, Inuvik, NWT, X0E 0T0",,011103279-001,Natural Resources Canada,906,G,2025-10-01,NT
RX,8230.0,101230.0,TW,RADARSAT-2C,45.58583333,-75.80927778,270,6.845,,,55.4,0.29,,Earth Station antenna,"Cantley, QC (75 Chemin Mcclelland)",,011084055-001,Natural Resources Canada,906,G,2025-05-09,QC
RX,8230.0,101230.0,TW,RADARSAT-2C,45.51886111,-73.39675,25,10.0,,,55.8,0.3,,Earth Station antenna,"Saint-Hubert, QC (6767 Route de l’Aéroport)",,011084022-001,Canadian Space Agency - RADARSAT-2C,906,G,2025-05-01,QC
RX,8230.0,101850.0,TW,RADARSAT-3C,53.21194444,-105.92666667,475,11.8,,,58.4,0.19,,Earth Station antenna,Prince Albert Satellite Station,,011061567-001,Natural Resources Canada,906,G,2024-10-18,SK
RX,8230.0,60000.0,TW,RADARSAT-2C,53.21194444,-105.92666667,475,11.8,,,58.4,0.19,,Earth Station antenna,Prince Albert Satellite Station,,011061573-001,Natural Resources Canada,906,G,2024-10-18,SK
RX,8230.0,100000.0,TC,RADARSAT-3C,45.58586111,-75.80938889,276,6.845,180.0,45.0,55.4,0.29,,Earth Station antenna,"GSS 75 Chem. Mcclelland, Cantley, QC J8V 3E6",,011057631-001,Natural Resources Canada,906,G,2024-09-27,QC
RX,8230.0,101850.0,TW,RADARSAT-3C,53.2125,-105.92916667,472,11.8,180.0,45.0,58.4,0.19,,Earth Station antenna,Prince Albert Satellite Station,VF944,011013736-001,Natural Resources Canada,906,G,2023-10-01,SK
