architecture_id,rf_chain_index,physical_port_indices,physical_port_count
generic_64t64r_subarray_8bit,50,100;101,2
generic_64t64r_subarray_8bit,51,102;103,2
generic_64t64r_subarray_8bit,52,104;105,2
generic_64t64r_subarray_8bit,53,106;107,2
generic_64t64r_subarray_8bit,54,108;109,2
generic_64t64r_subarray_8bit,55,110;111,2
generic_64t64r_subarray_8bit,56,112;113,2
generic_64t64r_subarray_8bit,57,114;115,2
generic_64t64r_subarray_8bit,58,116;117,2
generic_64t64r_subarray_8bit,59,118;119,2
generic_64t64r_subarray_8bit,60,120;121,2
generic_64t64r_subarray_8bit,61,122;123,2
generic_64t64r_subarray_8bit,62,124;125,2
generic_64t64r_subarray_8bit,63,126;127,2
generic_32t32r_subarray_6bit,0,0;1;8;9,4
generic_32t32r_subarray_6bit,1,2;3;10;11,4
generic_32t32r_subarray_6bit,2,4;5;12;13,4
generic_32t32r_subarray_6bit,3,6;7;14;15,4
generic_32t32r_subarray_6bit,4,16;17;24;25,4
generic_32t32r_subarray_6bit,5,18;19;26;27,4
generic_32t32r_subarray_6bit,6,20;21;28;29,4
generic_32t32r_subarray_6bit,7,22;23;30;31,4
generic_32t32r_subarray_6bit,8,32;33;40;41,4
generic_32t32r_subarray_6bit,9,34;35;42;43,4
generic_32t32r_subarray_6bit,10,36;37;44;45,4
generic_32t32r_subarray_6bit,11,38;39;46;47,4
generic_32t32r_subarray_6bit,12,48;49;56;57,4
generic_32t32r_subarray_6bit,13,50;51;58;59,4
generic_32t32r_subarray_6bit,14,52;53;60;61,4
generic_32t32r_subarray_6bit,15,54;55;62;63,4
generic_32t32r_subarray_6bit,16,64;65;72;73,4
generic_32t32r_subarray_6bit,17,66;67;74;75,4
generic_32t32r_subarray_6bit,18,68;69;76;77,4
generic_32t32r_subarray_6bit,19,70;71;78;79,4
generic_32t32r_subarray_6bit,20,80;81;88;89,4
generic_32t32r_subarray_6bit,21,82;83;90;91,4
generic_32t32r_subarray_6bit,22,84;85;92;93,4
generic_32t32r_subarray_6bit,23,86;87;94;95,4
generic_32t32r_subarray_6bit,24,96;97;104;105,4
generic_32t32r_subarray_6bit,25,98;99;106;107,4
generic_32t32r_subarray_6bit,26,100;101;108;109,4
generic_32t32r_subarray_6bit,27,102;103;110;111,4
generic_32t32r_subarray_6bit,28,112;113;120;121,4
generic_32t32r_subarray_6bit,29,114;115;122;123,4
generic_32t32r_subarray_6bit,30,116;117;124;125,4
generic_32t32r_subarray_6bit,31,118;119;126;127,4
