link_id,sample_index,is_endpoint,fraction_from_tx,distance_from_tx_m,longitude_deg,latitude_deg,elevation_m_asl
E3_SITE_02,25,False,0.2136752136752136,747.8632478631964,-75.80877,45.56049786992701,158.789306640625
E3_SITE_02,26,False,0.2222222222222222,777.7777777777243,-75.80877,45.56076702409431,157.5028533935547
E3_SITE_02,27,False,0.2307692307692307,807.6923076922521,-75.80877,45.56103617824888,153.07669067382812
E3_SITE_02,28,False,0.2393162393162393,837.60683760678,-75.80877,45.561305332390695,152.07745361328125
E3_SITE_02,29,False,0.2478632478632478,867.5213675213079,-75.80877,45.5615744865198,147.0264434814453
E3_SITE_02,30,False,0.2564102564102564,897.4358974358357,-75.80877,45.56184364063614,139.45974731445312
E3_SITE_02,31,False,0.2649572649572649,927.3504273503636,-75.80877,45.56211279473976,137.38304138183594
E3_SITE_02,32,False,0.2735042735042735,957.2649572648914,-75.80877,45.56238194883063,134.08860778808594
E3_SITE_02,33,False,0.282051282051282,987.1794871794192,-75.80877,45.56265110290877,128.03189086914062
E3_SITE_02,34,False,0.2905982905982906,1017.0940170939472,-75.80877,45.56292025697415,130.39578247070312
E3_SITE_02,35,False,0.2991452991452991,1047.008547008475,-75.80877,45.56318941102681,136.33926391601562
E3_SITE_02,36,False,0.3076923076923077,1076.9230769230028,-75.80877,45.56345856506675,137.91635131835938
E3_SITE_02,37,False,0.3162393162393162,1106.8376068375308,-75.80877,45.56372771909394,137.6030731201172
E3_SITE_02,38,False,0.3247863247863248,1136.7521367520585,-75.80877,45.56399687310839,129.67637634277344
E3_SITE_02,39,False,0.3333333333333333,1166.6666666665865,-75.80877,45.5642660271101,123.50308227539062
E3_SITE_02,40,False,0.3418803418803419,1196.5811965811142,-75.80877,45.56453518109907,129.3757781982422
E3_SITE_02,41,False,0.3504273504273504,1226.4957264956422,-75.80877,45.56480433507532,138.012939453125
E3_SITE_02,42,False,0.358974358974359,1256.41025641017,-75.80877,45.56507348903881,143.6015625
E3_SITE_02,43,False,0.3675213675213675,1286.324786324698,-75.80877,45.56534264298958,148.0850067138672
E3_SITE_02,44,False,0.376068376068376,1316.2393162392257,-75.80877,45.5656117969276,148.0850067138672
E3_SITE_02,45,False,0.3846153846153846,1346.1538461537536,-75.80877,45.56588095085289,150.07850646972656
E3_SITE_02,46,False,0.3931623931623931,1376.0683760682814,-75.80877,45.56615010476544,150.95701599121094
E3_SITE_02,47,False,0.4017094017094017,1405.9829059828094,-75.80877,45.56641925866526,151.90774536132812
E3_SITE_02,48,False,0.4102564102564102,1435.8974358973371,-75.80877,45.56668841255234,152.4937286376953
E3_SITE_02,49,False,0.4188034188034188,1465.811965811865,-75.80877,45.56695756642667,152.77371215820312
E3_SITE_02,50,False,0.4273504273504273,1495.7264957263928,-75.80877,45.56722672028828,153.78836059570312
E3_SITE_02,51,False,0.4358974358974359,1525.6410256409208,-75.80877,45.56749587413714,153.63226318359375
E3_SITE_02,52,False,0.4444444444444444,1555.5555555554486,-75.80877,45.56776502797327,153.07814025878906
E3_SITE_02,53,False,0.452991452991453,1585.4700854699763,-75.80877,45.568034181796655,153.55474853515625
E3_SITE_02,54,False,0.4615384615384615,1615.3846153845043,-75.80877,45.5683033356073,153.25250244140625
E3_SITE_02,55,False,0.4700854700854701,1645.2991452990325,-75.80877,45.56857248940522,153.2919464111328
E3_SITE_02,56,False,0.4786324786324786,1675.21367521356,-75.80877,45.5688416431904,153.44110107421875
E3_SITE_02,57,False,0.4871794871794871,1705.128205128088,-75.80877,45.56911079696283,154.58682250976562
E3_SITE_02,58,False,0.4957264957264957,1735.0427350426155,-75.80877,45.56937995072254,154.91175842285156
E3_SITE_02,59,False,0.5042735042735043,1764.9572649571437,-75.80877,45.56964910446951,156.1615753173828
E3_SITE_02,60,False,0.5128205128205128,1794.8717948716717,-75.80877,45.569918258203735,156.23350524902344
E3_SITE_02,61,False,0.5213675213675214,1824.7863247861997,-75.80877,45.57018741192523,156.32769775390625
E3_SITE_02,62,False,0.5299145299145299,1854.7008547007272,-75.80877,45.57045656563398,155.65289306640625
E3_SITE_02,63,False,0.5384615384615384,1884.6153846152552,-75.80877,45.57072571933,156.53021240234375
E3_SITE_02,64,False,0.5470085470085471,1914.529914529783,-75.80877,45.57099487301328,156.46253967285156
E3_SITE_02,65,False,0.5555555555555556,1944.4444444443104,-75.80877,45.57126402668382,155.53515625
E3_SITE_02,66,False,0.5641025641025641,1974.3589743588384,-75.80877,45.57153318034162,153.04913330078125
E3_SITE_02,67,False,0.5726495726495726,2004.2735042733664,-75.80877,45.57180233398668,152.40003967285156
E3_SITE_02,68,False,0.5811965811965812,2034.1880341878943,-75.80877,45.57207148761901,156.70355224609375
E3_SITE_02,69,False,0.5897435897435898,2064.102564102422,-75.80877,45.57234064123861,159.9657440185547
E3_SITE_02,70,False,0.5982905982905983,2094.01709401695,-75.80877,45.57260979484547,165.50160217285156
E3_SITE_02,71,False,0.6068376068376068,2123.931623931478,-75.80877,45.57287894843958,176.15574645996094
E3_SITE_02,72,False,0.6153846153846154,2153.8461538460056,-75.80877,45.573148102020966,187.31069946289065
E3_SITE_02,73,False,0.6239316239316239,2183.760683760533,-75.80877,45.5734172555896,191.861328125
E3_SITE_02,74,False,0.6324786324786325,2213.675213675061,-75.80877,45.57368640914552,191.861328125
E3_SITE_02,75,False,0.6410256410256411,2243.589743589589,-75.80877,45.573955562688674,194.98941040039065
E3_SITE_02,76,False,0.6495726495726496,2273.504273504117,-75.80877,45.57422471621911,195.6515350341797
E3_SITE_02,77,False,0.6581196581196581,2303.418803418645,-75.80877,45.5744938697368,193.3938751220703
E3_SITE_02,78,False,0.6666666666666666,2333.333333333173,-75.80877,45.574763023241765,192.4640655517578
E3_SITE_02,79,False,0.6752136752136753,2363.247863247701,-75.80877,45.57503217673398,191.5343170166016
E3_SITE_02,80,False,0.6837606837606838,2393.1623931622285,-75.80877,45.57530133021346,192.99864196777344
E3_SITE_02,81,False,0.6923076923076923,2423.0769230767564,-75.80877,45.5755704836802,195.83531188964844
E3_SITE_02,82,False,0.7008547008547008,2452.9914529912844,-75.80877,45.575839637134216,195.81727600097656
E3_SITE_02,83,False,0.7094017094017094,2482.9059829058124,-75.80877,45.57610879057549,188.7499847412109
E3_SITE_02,84,False,0.717948717948718,2512.82051282034,-75.80877,45.576377944004015,183.4874725341797
E3_SITE_02,85,False,0.7264957264957265,2542.735042734868,-75.80877,45.57664709741981,178.60202026367188
E3_SITE_02,86,False,0.7350427350427351,2572.649572649396,-75.80877,45.57691625082286,175.5067138671875
E3_SITE_02,87,False,0.7435897435897436,2602.564102563924,-75.80877,45.57718540421319,174.83641052246094
E3_SITE_02,88,False,0.7521367521367521,2632.478632478452,-75.80877,45.57745455759077,174.87086486816406
E3_SITE_02,89,False,0.7606837606837606,2662.39316239298,-75.80877,45.57772371095562,176.96348571777344
E3_SITE_02,90,False,0.7692307692307693,2692.3076923075078,-75.80877,45.57799286430773,182.5736083984375
E3_SITE_02,91,False,0.7777777777777778,2722.2222222220357,-75.80877,45.5782620176471,182.3550262451172
E3_SITE_02,92,False,0.7863247863247863,2752.136752136563,-75.80877,45.578531170973726,178.5096893310547
E3_SITE_02,93,False,0.7948717948717948,2782.0512820510908,-75.80877,45.57880032428763,176.9718475341797
E3_SITE_02,94,False,0.8034188034188035,2811.9658119656187,-75.80877,45.57906947758879,176.49850463867188
E3_SITE_02,95,False,0.811965811965812,2841.8803418801467,-75.80877,45.57933863087721,177.31658935546875
E3_SITE_02,96,False,0.8205128205128205,2871.7948717946742,-75.80877,45.579607784152905,177.93658447265625
E3_SITE_02,97,False,0.8290598290598291,2901.709401709202,-75.80877,45.57987693741585,180.669677734375
E3_SITE_02,98,False,0.8376068376068376,2931.62393162373,-75.80877,45.580146090666055,182.90711975097656
E3_SITE_02,99,False,0.8461538461538461,2961.5384615382577,-75.80877,45.58041524390353,184.87779235839844
E3_SITE_02,100,False,0.8547008547008547,2991.4529914527857,-75.80877,45.580684397128266,191.3265380859375
E3_SITE_02,101,False,0.8632478632478633,3021.3675213673137,-75.80877,45.58095355034026,192.14739990234372
E3_SITE_02,102,False,0.8717948717948718,3051.2820512818416,-75.80877,45.58122270353952,193.4768524169922
E3_SITE_02,103,False,0.8803418803418803,3081.196581196369,-75.80877,45.58149185672605,195.7719268798828
E3_SITE_02,104,False,0.8888888888888888,3111.111111110897,-75.80877,45.58176100989984,197.3927001953125
E3_SITE_02,105,False,0.8974358974358975,3141.025641025425,-75.80877,45.58203016306089,200.4409027099609
E3_SITE_02,106,False,0.905982905982906,3170.940170939953,-75.80877,45.5822993162092,204.96417236328125
E3_SITE_02,107,False,0.9145299145299144,3200.8547008544806,-75.80877,45.58256846934479,210.39537048339844
E3_SITE_02,108,False,0.9230769230769232,3230.7692307690086,-75.80877,45.58283762246762,215.7670745849609
