p452_time_percentage,polarization_label,bs_gain_case,earth_station_pattern_type,maximum_aggregate_interference_dbw_per_10mhz,minimum_aggregate_interference_dbw_per_10mhz,mean_aggregate_interference_dbw_per_10mhz,long_exceedance_fraction,short_exceedance_fraction,maximum_required_long_backoff_db,maximum_required_short_backoff_db,median_required_long_backoff_db,median_required_short_backoff_db
20.0,V,ZERO_DBI_PROPAGATION_REFERENCE,single_entry_section_1_1,-91.73605027990455,-106.87960363033048,-103.347658570642,1.0,1.0,58.263949720095454,41.263949720095454,45.21283239325463,28.21283239325463
50.0,H,COHERENT_ARRAY_UPPER_ENVELOPE,multiple_entry_section_1_2,-68.43844866207779,-83.59812200400634,-80.0762532435465,1.0,1.0,81.56155133792221,64.56155133792221,68.44738636769372,51.447386367693724
50.0,H,COHERENT_ARRAY_UPPER_ENVELOPE,single_entry_section_1_1,-65.43844866207779,-80.59812200400636,-77.0762532435465,1.0,1.0,84.56155133792221,67.56155133792221,71.44738636769372,54.447386367693724
50.0,H,ELEMENT_PATTERN_REFERENCE,multiple_entry_section_1_2,-92.52084831519628,-107.68052165712484,-104.158652896665,1.0,1.0,57.479151684803725,40.479151684803725,44.364986714575224,27.364986714575224
50.0,H,ELEMENT_PATTERN_REFERENCE,single_entry_section_1_1,-89.52084831519629,-104.68052165712484,-101.158652896665,1.0,1.0,60.47915168480371,43.47915168480371,47.36498671457524,30.364986714575238
50.0,H,ZERO_DBI_PROPAGATION_REFERENCE,multiple_entry_section_1_2,-95.03649220311954,-110.17314577837722,-106.64350329008668,1.0,1.0,54.963507796880464,37.963507796880464,41.91126050157135,24.91126050157135
50.0,H,ZERO_DBI_PROPAGATION_REFERENCE,single_entry_section_1_1,-92.03649220311954,-107.17314577837723,-103.64350329008668,1.0,1.0,57.963507796880464,40.963507796880464,44.911260501571334,27.911260501571334
50.0,V,COHERENT_ARRAY_UPPER_ENVELOPE,multiple_entry_section_1_2,-68.43844866207779,-83.59812200400634,-80.0762532435465,1.0,1.0,81.56155133792221,64.56155133792221,68.44738636769372,51.447386367693724
50.0,V,COHERENT_ARRAY_UPPER_ENVELOPE,single_entry_section_1_1,-65.43844866207779,-80.59812200400636,-77.0762532435465,1.0,1.0,84.56155133792221,67.56155133792221,71.44738636769372,54.447386367693724
50.0,V,ELEMENT_PATTERN_REFERENCE,multiple_entry_section_1_2,-92.52084831519628,-107.68052165712484,-104.158652896665,1.0,1.0,57.479151684803725,40.479151684803725,44.364986714575224,27.364986714575224
50.0,V,ELEMENT_PATTERN_REFERENCE,single_entry_section_1_1,-89.52084831519629,-104.68052165712484,-101.158652896665,1.0,1.0,60.47915168480371,43.47915168480371,47.36498671457524,30.364986714575238
50.0,V,ZERO_DBI_PROPAGATION_REFERENCE,multiple_entry_section_1_2,-95.03649220311954,-110.17314577837722,-106.64350329008668,1.0,1.0,54.963507796880464,37.963507796880464,41.91126050157135,24.91126050157135
50.0,V,ZERO_DBI_PROPAGATION_REFERENCE,single_entry_section_1_1,-92.03649220311954,-107.17314577837723,-103.64350329008668,1.0,1.0,57.963507796880464,40.963507796880464,44.911260501571334,27.911260501571334
