campaign_seed,pass_slot,interval_index,classification,user_index,user_id,serving_sector,serving_stream,full_load_nominal_total_rate_bps_hz,current_load_nominal_total_rate_bps_hz,floor_bps_hz,floor_branch,current_load_nominal_meets_absolute_floor,current_load_serviceability_mismatch,optimistic_single_user_floor_feasible,optimistic_user_index,optimistic_serving_sector,optimistic_serving_stream,optimistic_maximum_target_stream_scale,optimistic_eess_limited_target_stream_scale,optimistic_protected_rate_bps_hz,optimistic_total_rate_bps_hz
44008,0,103,FIXED_Q_FIXED_BEAM_JOINT_GLOBAL_INFEASIBLE,139,E3_SITE_12_SEC_2_UE_4,34,3,1.5899619191688938,4.175855935059626,3.758270341553663,RELATIVE_0P9_CURRENT_LOAD_NOMINAL,True,False,True,139,34,3,1.0,81928.716392029,10.031604625574275,4.72766206611557
44008,0,104,FIXED_Q_FIXED_BEAM_JOINT_GLOBAL_INFEASIBLE,43,E3_SITE_04_SEC_2_UE_4,10,3,0.15607359753349184,0.08628091385951121,0.1,ABSOLUTE_0P1,False,True,True,43,10,3,1.0,2511138.641390501,3.2695315211148763,0.4039896448514279
44008,0,104,FIXED_Q_FIXED_BEAM_JOINT_GLOBAL_INFEASIBLE,139,E3_SITE_12_SEC_2_UE_4,34,3,1.5899619191688938,4.175855935059626,3.758270341553663,RELATIVE_0P9_CURRENT_LOAD_NOMINAL,True,False,True,139,34,3,1.0,53735.44564653732,10.032485555072734,4.727750159065416
44008,0,105,FIXED_Q_FIXED_BEAM_JOINT_GLOBAL_INFEASIBLE,43,E3_SITE_04_SEC_2_UE_4,10,3,0.15607359753349184,0.08628091385951121,0.1,ABSOLUTE_0P1,False,True,True,43,10,3,1.0,5010380.298828594,3.267966209683977,0.40383311370833797
44008,0,105,FIXED_Q_FIXED_BEAM_JOINT_GLOBAL_INFEASIBLE,139,E3_SITE_12_SEC_2_UE_4,34,3,1.5899619191688938,4.175855935059626,3.758270341553663,RELATIVE_0P9_CURRENT_LOAD_NOMINAL,True,False,True,139,34,3,1.0,85164.94199906089,10.031510458404345,4.727652649398577
44008,0,106,FIXED_Q_FIXED_BEAM_JOINT_GLOBAL_INFEASIBLE,43,E3_SITE_04_SEC_2_UE_4,10,3,0.15607359753349184,0.08628091385951121,0.1,ABSOLUTE_0P1,False,True,True,43,10,3,1.0,2511138.641390501,3.2695315211148763,0.4039896448514279
44008,0,106,FIXED_Q_FIXED_BEAM_JOINT_GLOBAL_INFEASIBLE,139,E3_SITE_12_SEC_2_UE_4,34,3,1.5899619191688938,4.175855935059626,3.758270341553663,RELATIVE_0P9_CURRENT_LOAD_NOMINAL,True,False,True,139,34,3,1.0,42683.5816825368,10.033063941398083,4.727807997697951
44008,0,107,FIXED_Q_FIXED_BEAM_JOINT_GLOBAL_INFEASIBLE,43,E3_SITE_04_SEC_2_UE_4,10,3,0.15607359753349184,0.08628091385951121,0.1,ABSOLUTE_0P1,False,True,True,43,10,3,1.0,5010380.298828594,3.267966209683977,0.40383311370833797
44008,0,107,FIXED_Q_FIXED_BEAM_JOINT_GLOBAL_INFEASIBLE,139,E3_SITE_12_SEC_2_UE_4,34,3,1.5899619191688938,4.175855935059626,3.758270341553663,RELATIVE_0P9_CURRENT_LOAD_NOMINAL,True,False,True,139,34,3,1.0,85164.94199906089,10.031510458404345,4.727652649398577
44008,0,108,FIXED_Q_FIXED_BEAM_JOINT_GLOBAL_INFEASIBLE,43,E3_SITE_04_SEC_2_UE_4,10,3,0.15607359753349184,0.08628091385951121,0.1,ABSOLUTE_0P1,False,True,True,43,10,3,1.0,2511138.641390501,3.2695315211148763,0.4039896448514279
