time_s,aggregate_nominal_interference_w,aggregate_safe_interference_w,aggregate_allowance_w,budget_sum_w,local_violation_count,network_nominal_sum_se_bps_hz,network_safe_sum_se_bps_hz,rate_retention_fraction,minimum_pol_scale,median_pol_scale
179.0,1.006357823313394e-09,4.510685102645394e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.8967533847568,0.9915172270174457,0.006694911737452867,0.00669491455104512
180.0,9.881259764836404e-10,4.5106851026454377e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.8970283643594,0.9915177310822442,0.0067563931225705165,0.006756395962000833
181.0,9.702453763249756e-10,4.5106851026454137e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.8973121579522,0.9915182513039584,0.00681836550839246,0.0068183683738671855
182.0,9.527089229561531e-10,4.510685102645447e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.8976053726644,0.9915187887955158,0.006880831978100111,0.00688083486982689
183.0,9.355096542167353e-10,4.5106851026453834e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.8978892064439,0.991519309090896,0.006943795668093613,0.006943798586281406
184.0,9.186407437202404e-10,4.510685102645413e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.898182655477,0.9915198470119867,0.007007259768913562,0.0070072627137726705
185.0,9.020954988893207e-10,4.5106851026454774e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.8984765468882,0.9915203857440004,0.007071227526166132,0.007071230497908221
186.0,8.858673589897915e-10,4.510685102645406e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.8987719468092,0.9915209272412615,0.007135702241397397,0.00713570524023552
187.0,8.699498931479991e-10,4.510685102645426e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.8990622243164,0.9915214593486317,0.007200687272983734,0.007200690299132355
188.0,8.543367983702488e-10,4.510685102645408e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.8993631185283,0.9915220109174713,0.007266186036974731,0.007266189090649753
189.0,8.390218975554754e-10,4.510685102645463e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.8996829105793,0.9915225971279183,0.007332202007930187,0.007332205089348969
190.0,8.239991375068462e-10,4.510685102645397e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.899984411315,0.9915231498085761,0.00739873871973714,0.007398741829118528
191.0,8.092625869452949e-10,4.5106851026454364e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9002880492033,0.9915237064068457,0.007465799766401455,0.007465802903965804
192.0,7.948064345205981e-10,4.510685102645442e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9005969686219,0.9915242726866828,0.00753338880284199,0.007533391968811193
193.0,7.806249868326585e-10,4.510685102645478e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9009142298968,0.991524854257967,0.0076015095456381885,0.0076015127402357
194.0,7.667126664504389e-10,4.5106851026454326e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9012279479084,0.9915254293340994,0.007670165773796432,0.007670168997247293
195.0,7.530640099467498e-10,4.51068510264543e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9015412397933,0.9915260036290994,0.007739361329456975,0.007739364581987842
196.0,7.396736659303909e-10,4.5106851026454257e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9018618504767,0.9915265913401806,0.007809100118638625,0.0078091034004778
197.0,7.265363930985767e-10,4.5106851026454244e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9021837054072,0.9915271813320897,0.007879386111915413,0.00787938942329286
198.0,7.136470582928697e-10,4.510685102645477e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9025017422409,0.99152776432505,0.007950223345115862,0.007950226686263244
199.0,7.01000634571872e-10,4.5106851026454755e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9028422534252,0.9915283885157168,0.008021615919984171,0.008021619291134876
200.0,6.885921992929577e-10,4.5106851026454414e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9031671544323,0.9915289840913855,0.008093568004851198,0.008093571406240362
201.0,6.764169322126165e-10,4.5106851026453796e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9035030698188,0.9915295998575008,0.008166083835269245,0.00816608726713379
202.0,6.644701136012621e-10,4.5106851026454484e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9038416010578,0.9915302204187322,0.008239167714638689,0.00823917117721734
