case,p452_time_percentage,threshold_dbw_per_10mhz,pattern,controller,command_feasible_all_intervals,violation_seconds,maximum_threshold_excess_db,minimum_safety_margin_db,fail_safe_command_count,certificate_status,runtime_seconds,queue_maximum,exact_hard_null,eligible_floor_violation_interval_count,eligible_floor_violation_user_interval_count,unique_eligible_floor_violation_user_count,total_normalized_floor_shortfall_user_seconds,maximum_normalized_floor_shortfall,minimum_floor_ratio,mean_moving_pf_utility,minimum_moving_pf_utility,final_moving_pf_utility,mean_moving_geometric_rate_bps_hz,final_moving_geometric_rate_bps_hz,mean_active_p05_rate_bps_hz,minimum_active_p05_rate_bps_hz,minimum_active_eligible_rate_bps_hz,mean_total_network_retention_secondary,minimum_total_network_retention_secondary,mean_protected_network_retention_secondary,minimum_protected_network_retention_secondary,command_total_variation_db,maximum_command_slew_db,mean_active_mode_count,maximum_active_mode_count,payload_bytes_per_update,maximum_finite_action_db,mean_local_table_build_seconds,maximum_local_table_build_seconds
long_multiple,20.0,-150.0,SA.509 multiple-entry,instantaneous_common_scale_oracle,True,0,4.821637332766433e-15,-4.821637332766433e-15,0,NOT_APPLICABLE,0.0,,False,0,0,0,0.0,0.0,1.0008948498674222,95.54210337825695,5.864926323452752,50.63701330561911,1.6019477556837394,1.2761400634649307,0.6420345460009764,0.24589355007843383,0.10441599671151776,0.9949638300978858,0.9929361444844144,0.9495264661296331,0.929874530791896,2849.4608112531423,1.855481409933482,114.0,114.0,456.0,63.38281614789017,,
long_multiple,20.0,-150.0,SA.509 multiple-entry,exact_hard_null_reference,True,0,-3000.0,3000.0,0,NOT_APPLICABLE,0.0,,True,0,0,0,0.0,0.0,1.0008888383885357,95.53961307475696,5.862150750387704,50.63350415868845,1.601929111853626,1.2761184130584262,0.6420265597858736,0.2458933751846725,0.10439035807270651,0.9949504923601319,0.9929306784702739,0.9493927693289205,0.9298202508414306,0.0,0.0,114.0,114.0,0.0,,,
long_multiple,20.0,-150.0,SA.509 multiple-entry,online_predictive_constrained_pf_two_drops,True,0,-0.0001585233682704668,0.0001585233682704668,2,PASS_CORRECTED_FINITE_PASS_DYNAMIC_CERTIFICATE,13.309360355022363,,False,0,0,0,0.0,0.0,1.0009592567335923,95.74553899905533,6.0802080228217905,50.8862457955261,1.6034930099807438,1.2776786938893123,0.6450619552151227,0.2459066287166999,0.10449248236737649,0.9959365223075994,0.9933270388119231,0.9593149849900445,0.9337550813024293,9458.0,3.0,96.21186440677967,114.0,456.0,70.0,0.07319512118543972,0.12252131599234417
short_single,0.005,-133.0,SA.509 single-entry,online_predictive_constrained_pf,True,0,-0.000169200310963128,0.000169200310963128,0,PASS_CORRECTED_FINITE_PASS_DYNAMIC_CERTIFICATE,15.801277532009408,,False,0,0,0,0.0,0.0,1.0020529917956569,95.88559615085808,6.292368149871755,51.00389286352508,1.6045519878232766,1.2784056289428736,0.645405797868517,0.24600479598879488,0.10501639509501393,0.996475280166511,0.9941740639810315,0.9647162377591875,0.9421638089843207,8619.0,3.0,90.21186440677967,95.0,456.0,70.0,0.08579340319433329,0.13819582300493494
short_single,0.005,-133.0,SA.509 single-entry,online_delayed_myopic_constrained_pf,True,50,1.809973345567277,-1.809973345567277,0,NOT_APPLICABLE,15.096471174969338,,False,0,0,0,0.0,0.0,1.0020529917956569,95.88399315511347,6.289214753438932,51.00446758262538,1.6045387904558632,1.278409181116172,0.6454100999599313,0.24600479598879488,0.10535456842314891,0.9964785036780386,0.9941740639810315,0.9647472322614333,0.9421638089843207,7560.0,3.0,90.11016949152543,95.0,456.0,70.0,0.08229797257660983,0.1425620310474187
short_single,0.005,-133.0,SA.509 single-entry,static_constrained_pf,True,0,-1.8102459259045505,1.8102459259045505,0,NOT_APPLICABLE,0.0,,False,0,0,0,0.0,0.0,1.0020529919005758,95.75326998147294,6.086127960597336,50.849329187595316,1.6035630808607535,1.2774506732564017,0.6450195039247376,0.24598453502663042,0.10443541836215595,0.9959473538364737,0.994149569495159,0.9594210944654279,0.9419206432922949,0.0,0.0,96.0,96.0,456.0,70.0,,
short_single,0.005,-133.0,SA.509 single-entry,virtual_queue_gain_1_online_pf,True,150,5.265655157612798,-5.265655157612798,0,NOT_APPLICABLE,9.478582017007284,5.1605979877408945,False,0,0,0,0.0,0.0,1.001310988736174,95.8110741159633,6.159122579353838,50.92579389761134,1.6039925722019905,1.27792301343788,0.645067200581298,0.2458950620839136,0.10457237347750971,0.99623245398242,0.9937996250142817,0.9622659224863617,0.9384466168397206,34300.0,3.0,96.86440677966101,112.0,456.0,70.0,0.07601758197563606,0.13057001697598025
short_single,0.005,-133.0,SA.509 single-entry,instantaneous_common_scale_oracle,True,0,5.785964799319719e-15,-5.785964799319719e-15,0,NOT_APPLICABLE,0.0,,False,0,0,0,0.0,0.0,1.0009120851726157,95.54935588154596,5.873012678611767,50.64734802193149,1.6020020268409727,1.2762038277631784,0.642057581809618,0.24589406107470585,0.10449098577295006,0.9950032468713498,0.9929518982799183,0.9499213895587829,0.930030924463751,2831.444674867206,1.6969034652256454,114.0,114.0,456.0,51.636284885591664,,
short_single,0.005,-133.0,SA.509 single-entry,exact_hard_null_reference,True,0,-3000.0,3000.0,0,NOT_APPLICABLE,0.0,,True,0,0,0,0.0,0.0,1.0008888383885357,95.53961307475696,5.862150750387704,50.63350415868845,1.601929111853626,1.2761184130584262,0.6420265597858736,0.2458933751846725,0.10439035807270651,0.9949504923601319,0.9929306784702739,0.9493927693289205,0.9298202508414306,0.0,0.0,114.0,114.0,0.0,,,
long_single,20.0,-150.0,SA.509 single-entry,online_predictive_constrained_pf,True,0,-0.00013955060253801048,0.00013955060253801048,0,PASS_CORRECTED_FINITE_PASS_DYNAMIC_CERTIFICATE,14.350795130012557,,False,0,0,0,0.0,0.0,1.000951624549143,95.7334593131934,6.080429594044335,50.86747612552089,1.6033979005803929,1.2775627552948874,0.6450504620505353,0.24589661827457424,0.10443727690543808,0.9958843133423515,0.9937900746898864,0.958785618465173,0.93835180728737,8847.0,3.0,96.90677966101696,102.0,456.0,70.0,0.07918059256695353,0.12629973102593794
long_single,20.0,-150.0,SA.509 single-entry,online_delayed_myopic_constrained_pf,False,58,4.359572356983843,-4.359572356983843,0,NOT_APPLICABLE,15.06085902202176,,False,0,0,0,0.0,0.0,1.000951624549143,95.73094781191695,6.07651581701889,50.86719185410252,1.6033787611654033,1.277560999456248,0.6450510473115979,0.24589646923137007,0.10445698727260769,0.9958777802033391,0.9934207809716074,0.9587203099588694,0.9346856939003139,8669.0,3.0,97.29661016949153,114.0,456.0,70.0,0.0809080085674719,0.14142689597792923
long_single,20.0,-150.0,SA.509 single-entry,static_constrained_pf,True,0,-0.6123957352192813,0.6123957352192813,0,NOT_APPLICABLE,0.0,,False,0,0,0,0.0,0.0,1.0009593684453386,95.69480794415873,6.035791102367219,50.79950075595242,1.6031090524972247,1.2771429654043545,0.6449609594988617,0.2458947603921246,0.10439542458693082,0.995744121585794,0.9937807424066086,0.9573758278528184,0.9382591623086893,0.0,0.0,102.0,102.0,456.0,70.0,,
long_single,20.0,-150.0,SA.509 single-entry,virtual_queue_gain_1_online_pf,True,138,5.406789572552969,-5.406789572552969,0,NOT_APPLICABLE,8.508630116004497,3.9311369178285975,False,0,0,0,0.0,0.0,1.0008943925176066,95.6573256853271,6.011803487042143,50.78869146587028,1.6028088212617355,1.277076224064436,0.6449040463490414,0.2458873281160107,0.10439333816588363,0.995606174376633,0.9929883531844277,0.9559969437819628,0.9303928255923906,36024.0,3.0,108.11864406779661,114.0,456.0,70.0,0.06813240107010766,0.11090025998419151
long_single,20.0,-150.0,SA.509 single-entry,instantaneous_common_scale_oracle,True,0,4.821637332766433e-15,-4.821637332766433e-15,0,NOT_APPLICABLE,0.0,,False,0,0,0,0.0,0.0,1.000893099285463,95.54137320874636,5.864109213659813,50.635982875385515,1.6019422905543068,1.2761337059747933,0.6420322132786747,0.24589349800044105,0.10440850835824095,0.9949598834040417,0.9929345394528463,0.9494869307082799,0.9298585970583179,2849.4608112531455,1.855481409933482,114.0,114.0,456.0,66.38281614789017,,
long_single,20.0,-150.0,SA.509 single-entry,exact_hard_null_reference,True,0,-3000.0,3000.0,0,NOT_APPLICABLE,0.0,,True,0,0,0,0.0,0.0,1.0008888383885357,95.53961307475696,5.862150750387704,50.63350415868845,1.601929111853626,1.2761184130584262,0.6420265597858736,0.2458933751846725,0.10439035807270651,0.9949504923601319,0.9929306784702739,0.9493927693289205,0.9298202508414306,0.0,0.0,114.0,114.0,0.0,,,
