seed,pass,physical_seconds,peak_pattern_long_violation_seconds,peak_pattern_short_violation_seconds,peak_pattern_max_long_ratio,peak_pattern_max_short_ratio
44041,3,594,564,0,1.999917607392949,0.07361694494337656
44041,4,605,575,0,1.9986792297228637,0.07466557592233686
44042,0,587,575,0,1.9999999864164093,0.07383885772239318
44042,1,571,553,0,1.998563786123391,0.07374801129361558
44042,2,581,545,0,1.9998499963062717,0.07583122014554819
44042,3,594,558,0,1.9967261064280162,0.07284625752355484
44042,4,605,570,0,1.9978013166996207,0.07578439102182637
44043,0,587,580,0,1.999214121306139,0.07607754839363588
44043,1,571,568,0,1.998461957322946,0.07518232724109683
44043,2,581,580,0,1.999278112398934,0.07576651670327031
44043,3,594,584,0,1.998708501155295,0.07576651670327031
44043,4,605,603,0,1.9996422127686952,0.07576651670327031
44044,0,587,567,0,1.9993455974097214,0.07231159079249334
44044,1,571,555,0,1.9993516842763956,0.07194240900985825
44044,2,581,541,0,1.999499936924397,0.0720925148903748
44044,3,594,554,0,1.9998194873138226,0.0720925148903748
44044,4,605,560,0,1.9999456119400914,0.0720925148903748
44045,0,587,574,0,1.9864641343904745,0.07390047210478153
44045,1,571,555,0,1.9864641343904745,0.07390047210478153
44045,2,581,561,0,1.9999418314217994,0.07792099121804165
44045,3,594,589,0,1.9997023036137067,0.07783773950294189
44045,4,605,600,0,1.994451166773243,0.07773625754477291
44046,0,587,587,0,1.9997314277860143,0.07631591073056349
44046,1,571,571,0,1.9988774850770394,0.07683595647600404
44046,2,581,561,0,1.9993716336573015,0.0767714836330382
44046,3,594,574,0,1.9988078333485966,0.07673179088091532
44046,4,605,585,0,1.9999379582082355,0.07548660018042441
44047,0,587,587,0,1.999747566169623,0.0724460924776223
44047,1,571,571,0,1.9998709932165855,0.0730588235473605
44047,2,581,581,0,1.998589585392498,0.07370345996830004
44047,3,594,594,0,1.9999822339349431,0.07230539369551019
44047,4,605,605,0,1.9996261381745228,0.07270678924164355
44048,0,587,557,0,1.9975856574389206,0.07375155840729876
44048,1,571,521,0,1.9966630866597748,0.07604513546742256
44048,2,581,524,0,1.9985151626750106,0.07583734470492047
44048,3,594,538,0,1.9982333627623852,0.07583734470492047
44048,4,605,531,0,1.9991265352430034,0.07583734470492047
44049,0,587,577,0,1.9974811032876445,0.07634532730748252
44049,1,571,561,0,1.9995016918229611,0.07688267072976818
44049,2,581,576,0,1.9998316473555906,0.07787490126037189
44049,3,594,580,0,1.9945044045525795,0.07787490126037189
44049,4,605,600,0,1.9997745940116953,0.07787490126037189
44050,0,587,555,0,1.9902930193258137,0.07834552512120062
44050,1,571,536,0,1.9874878719044713,0.07842596994307142
44050,2,581,514,0,1.9993580631657872,0.07928557503921178
44050,3,594,523,0,1.9991885754752525,0.07929123041811242
44050,4,605,535,0,1.9995599847271337,0.07930528347346398
44051,0,587,587,0,1.9987058798286002,0.07355558029110609
44051,1,571,571,0,1.9986227056061538,0.0743359607046978
44051,2,581,556,0,1.9991320683306442,0.0755442853883886
44051,3,594,569,0,1.9999841927954665,0.07554981083332625
44051,4,605,580,0,1.9969153737058103,0.07499237945113552
44052,0,587,585,0,1.9962811087161398,0.0768553008672888
44052,1,571,528,0,1.9895352875692052,0.07585392099790558
44052,2,581,531,0,1.9999217719356681,0.07565802152671923
44052,3,594,544,0,1.999851658105256,0.07565802152671923
44052,4,605,553,0,1.9995446763577582,0.07565802152671923
44053,0,587,567,0,1.9994720379756457,0.07408450054344756
44053,1,571,546,0,1.9999835117279798,0.07375683070533882
44053,2,581,565,0,1.9993078040049561,0.07380596266474741
44053,3,594,579,0,1.9991552734138371,0.07203068541082844
44053,4,605,587,0,1.9989625052838256,0.0729389746519086
44054,0,587,510,0,1.999618890931487,0.07751776313558457
44054,1,571,505,0,1.991128288063583,0.0749226642972701
44054,2,581,481,0,1.9965236538020779,0.07823151832353199
44054,3,594,509,0,1.9993495690195917,0.07771046214647068
44054,4,605,510,0,1.9994577049222981,0.0774203425293759
44055,0,587,578,0,1.9937018535053839,0.08042251492057138
44055,1,571,564,0,1.992773955983988,0.07468201937066746
44055,2,581,551,0,1.999750207739553,0.08054019825608683
44055,3,594,563,0,1.9999960216914159,0.08052119422819831
44055,4,605,574,0,1.9996409575083383,0.08049375806168999
44056,0,587,571,0,1.9981174710744374,0.07830207726983121
44056,1,571,548,0,1.9968958640105798,0.07826253018597508
44056,2,581,525,0,1.9995979022334047,0.07847268363720673
44056,3,594,536,0,1.999494571324923,0.07845110398708748
44056,4,605,548,0,1.9998560078312009,0.07846299613647856
44057,0,587,562,0,1.9997129216512899,0.07534066119182478
44057,1,571,556,0,1.9992503117704126,0.07546361962591998
44057,2,581,566,0,1.9983840046803782,0.0761917689525879
44057,3,594,579,0,1.999968325087273,0.07487721791262612
44057,4,605,590,0,1.9987503098258892,0.07555058221468984
44058,0,587,587,0,1.9913660058683194,0.07823687848018317
44058,1,571,571,0,1.9980656117106548,0.07873741695582692
44058,2,581,551,0,1.9971332318196222,0.07604261947896239
44058,3,594,564,0,1.999232130226885,0.07722953083962283
44058,4,605,575,0,1.9992363444573495,0.07716964948412003
44059,0,587,582,0,1.9982044234782363,0.07281910317946194
44059,1,571,568,0,1.9997633179587886,0.07292484023779137
44059,2,581,571,0,1.9998336034768212,0.07356903552884778
44059,3,594,588,0,1.9991267927993346,0.0732726823243104
44059,4,605,597,0,1.9993602303389246,0.0726880320289651
